industry,time,staff,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,COD,pH,water,N,P,Cu,Cr,Fe,Ni,NH3N,HW17,HWsum
4419,202210,2,0,0,0,0,0,0,0,1,1,1,1,211.142,7.097096774,3811.624,67.33699026,1.390708313,0.107189678,0.004094782,0,0,3.262,0,1254.749
4419,202202,2,0,0,0,0,0,0,0,1,0,0,0,529.236,7.351785786,21705.69,383.4575068,7.919533385,0.61040279,0.023318162,0,0,47.837,0,422.734
4419,202007,2,0,0,0,0,0,0,0,1,0,0,0,1758.6,7.351785786,27324.42,482.7192302,9.969582004,0.768411518,0.029354296,0,0,48.6,0,541.554
4419,202011,2,0,0,0,0,0,0,0,1,0,0,0,3011.6,7.351785786,27677.17,488.9509895,10.09828629,0.778331479,0.029733251,0,0,39.395,0,638.77
4419,202204,2,0,0,0,0,0,0,0,1,0,0,0,334.555,7.351785786,14808.96,261.6183535,5.40319396,0.416454418,0.015909088,0,0,32.236,0,736.869
4419,202207,2,0,0,0,0,0,0,0,1,0,0,0,715.236,7.351785786,29324.63,518.0553813,10.69937819,0.824660998,0.031503098,0,0,34.267,0,556.809
4419,202211,2,0,0,1,0,0,0,0,1,1,0,0,260.464,7.194666667,8795.904,155.39038,3.209271642,0.247356539,0.009449334,0,0,15.832,0,941.0068
4419,202208,3,0,1,0,1,0,0,0,0,1,0,0,3.69124,7.431935484,272,4.805211991,0.099241861,0.007649126,0.000292206,0,0,4.57178,0,0.045
4419,202112,3,0,1,0,1,0,0,0,0,1,0,0,17.60597351,7.445895834,354,6.253842076,0.129160364,0.009955113,0.000380298,0,0,3.913929572,0.695,0.949
4419,202203,3,0,1,0,1,0,0,0,0,1,0,0,17.01065288,7.445895834,342.03,6.042377416,0.124792992,0.009618495,0.000367439,0,0,3.781585682,0.733,0.7857
4419,202206,2,0,0,0,0,0,0,0,1,1,0,1,76.6087,7.826333333,4203.3937,74.25808018,1.533649321,0.118206942,0.004515655,0,0,0.1084,0,1454.533
4419,202208,2,0,0,0,0,0,0,0,1,1,0,1,166.0919,7.968064516,7592.714,134.1345601,2.770275997,0.213520686,0.008156761,0,0,1.0177,0,1801.653
4419,202209,3,0,0,0,0,0,0,0,1,1,0,0,1105.578,6.786,10686.328,188.7870274,3.899011336,0.30051864,0.011480194,0,0,4.147,0,1312.7798
4419,202212,3,0,0,0,0,0,0,0,1,1,0,0,1214.88,7.297096774,10488.845,185.2982491,3.826957731,0.294965065,0.01126804,0,0,4.508,0,1409.863
4419,202106,5,0,1,1,0,0,1,0,0,0,1,0,8.637667027,7.190555556,217.55,3.843286282,0.079375246,0.006117895,0.000233711,0,0,0.251972471,1.02,1.406
4419,202110,5,0,1,1,0,0,1,0,0,0,1,0,50.46454225,6.61483871,1271.01,22.45394299,0.463740435,0.035743072,0.001365431,0,0,1.472119195,0,89
4419,202210,5,0,1,1,0,0,1,0,0,0,1,0,45.5559016,6.8,1147.38,20.26986814,0.41863282,0.032266376,0.001232617,0,0,1.328927485,0,89.88
4419,202208,5,0,1,1,0,0,1,0,0,0,1,0,40.91566191,7.071290323,1030.51,18.20521694,0.375991657,0.028979783,0.001107065,0,0,1.193565395,0,125.28
4419,202212,5,0,1,1,0,0,1,0,0,0,1,0,36.10509083,7.105483871,909.35,16.06477766,0.331785245,0.025572547,0.000976904,0,0,1.053234507,5.4866,130.7716
4419,202210,2,0,0,0,0,0,0,0,1,0,0,0,250.356,8.123225806,5412.22,95.61347221,1.943,0.152201298,0.005814283,0,0,11.602,0,815.188
4419,202204,2,0,0,0,0,0,0,0,1,0,0,0,220.259,7.182333333,8970.941,158.4826223,0.115,0.252278892,0.009637374,0,0,5.142,0,925.2905
4419,202210,3,0,0,0,0,0,0,0,1,0,0,0,889.775,7.190967742,41428,731.8761851,8.8345,1.165029391,0.044505603,0,0,6.8821,0,1384.693
4419,202209,3,0,0,0,0,0,0,0,1,0,0,0,994.444,7.527333333,38448,679.2308479,8.2421,1.081226466,0.041304224,0,0,9.3757,0,1519.166
4419,202107,3,0,0,0,0,0,0,0,1,0,0,0,1860.811,6.896774194,27322,482.676478,12.2404,0.768343464,0.029351696,0,0,32.3638,0,2097.814
4419,202108,3,0,0,0,0,0,0,0,1,0,0,0,966.03551,7.05516129,34832,615.3497944,7.0318,0.979538084,0.037419599,0,0,33.455316,0,2141.677
4419,202110,5,0,1,1,0,0,0,0,0,1,1,0,209.489873,7.446794846,1349.5589,23.84160518,0.49239977,0.034659,0.001449815,0,0,17.335656,19.9131,24.7321
4419,202109,5,0,1,1,0,0,0,0,0,1,1,0,309.85177,7.237647059,1820.4392,32.16028041,0.664205055,0.020164,0.001955676,0,0,14.385942,32.027,41.548
4419,202111,5,0,1,1,0,0,0,0,0,1,1,0,238.2563,7.466153846,1530.994,27.04687767,0.558598142,0.028963,0.001644728,0,0,7.494639,40.179,45.5138
4419,202108,5,0,1,1,0,0,0,0,0,1,1,0,238.172196,7.160247312,1602.793,28.31529464,0.584794709,0.031047,0.001721861,0,0,35.029664,39.075,48.685
4419,202210,5,0,1,1,0,0,0,0,0,1,1,0,78.0542,7.011935484,1505.995951,26.60525662,0.549477359,0.030913,0.009,0,0,13.3161,39.046,49.953
